p_rede_ref;p_rede_imp_ref;p_rede_exp_ref
-0.714285714285714;0.714285714285714;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714285714;0.714285714285714;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286001;0.714285714286001;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286001;0.714285714286001;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.714285714286;0.714285714286;0.0
-0.0;0.0;0.0
0.018813713;0.0;0.018813713
0.56549025;0.0;0.56549025
0.92632115;0.0;0.92632115
0.7297993;0.0;0.7297993
1.0010525;0.0;1.0010525
1.347861;0.0;1.347861
2.0931196;0.0;2.0931196
1.9757842;0.0;1.9757842
2.0891457;0.0;2.0891457
2.457061;0.0;2.457061
2.5604508;0.0;2.5604508
2.7175665;0.0;2.7175665
3.2199044;0.0;3.2199044
3.3468275;0.0;3.3468275
3.602493;0.0;3.602493
3.6698518;0.0;3.6698518
4.1062984;0.0;4.1062984
3.818762;0.0;3.818762
3.6075466;0.0;3.6075466
3.9509864;0.0;3.9509864
4.1467314;0.0;4.1467314
4.088094;0.0;4.088094
4.242188;0.0;4.242188
4.2670417;0.0;4.2670417
4.054972;0.0;4.054972
4.2427454;0.0;4.2427454
4.0163975;0.0;4.0163975
3.935722;0.0;3.935722
4.106263;0.0;4.106263
3.7454627;0.0;3.7454627
3.7566783;0.0;3.7566783
3.5704503;0.0;3.5704503
3.4978456;0.0;3.4978456
3.2138317;0.0;3.2138317
3.1486316;0.0;3.1486316
2.8829799;0.0;2.8829799
2.7517586;0.0;2.7517586
2.3873274;0.0;2.3873274
2.2704675;0.0;2.2704675
2.1201186;0.0;2.1201186
1.5199004;0.0;1.5199004
1.8070499;0.0;1.8070499
1.649701;0.0;1.649701
1.0998782;0.0;1.0998782
1.4750388;0.0;1.4750388
0.44048592;0.0;0.44048592
0.7905455;0.0;0.7905455
0.11473909;0.0;0.11473909
0.07077949;0.0;0.07077949
-0.0;0.0;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
2.87999999999078;0.0;2.87999999999078
-2.87999999999078;2.87999999999078;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
2.87999999999078;0.0;2.87999999999078
-2.87999999999078;2.87999999999078;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
-0.0;0.0;0.0
0.35;0.0;0.35
0.35;0.0;0.35
3.22999999999078;0.0;3.22999999999078
3.35;0.0;3.35
